日期,传统汽车销量,国内生产总值当季值(亿元)x1,汽油价格（元/吨）x2,人民币贷款基准利率x3,汽车总产量（万辆）x4,新能源销量（万辆）x5,新能源产量（万辆x6）,公路里程数,汽车整车股票指数,消费者信心指数
2003年Q1,102.1,29825.5,3020,5.49,102.1,0,0,177.6375,1696.81,97.7
2003年Q2,110,32537.3,3020,5.49,110,0,0,178.755,1912.54,87.66666667
2003年Q3,112.1,35291.9,2920,5.49,112.1,0,0,179.8725,1803.71,92.33333333
2003年Q4,122.8,39767.4,3010,5.49,122.8,0,0,180.99,1922.48,94.66666667
2004年Q1,131.1,34544.6,3210,5.49,131.1,0,0,182.5125,1930.71,95.33333333
2004年Q2,133.3,38700.8,3210,5.49,133.3,0,0,184.035,1245.7,92.56666667
2004年Q3,121,41855,3510,5.49,121,0,0,185.5575,1163.16,91.06666667
2004年Q4,123.7,46739.8,3750,5.76,123.7,0,0,187.08,870.61,92.56666667
2005年Q1,139.7,40453.3,3750,5.76,139.7,0,0,188.5675,749.62,93.93333333
2005年Q2,162.2,44793.1,4050,5.76,162.2,0,0,190.055,764.84,94.53333333
2005年Q3,139.3,48047.8,4100,5.76,139.3,0,0,191.5425,826.79,94.4
2005年Q4,174,54024.8,4400,5.76,174,0,0,193.03,796.8,93.86666667
2006年Q1,185.9,47078.9,4400,5.76,185.9,0,0,231.195,903.68,91.26666667
2006年Q2,195.7,52673.3,4700,6.03,195.7,0,0,269.36,1351.09,90
2006年Q3,172.9,56064.7,4980,6.3,172.9,0,0,307.525,1291.19,90.66666667
2006年Q4,178.3,63621.6,4980,6.3,178.3,0,0,345.69,1802.6,92.13333333
2007年Q1,219,57159.3,4980,6.3,219,0,0,348.8575,2809.69,94.36666667
2007年Q2,230.1,64781.6,4980,6.75,230.1,0,0,352.025,3546.31,96.76666667
2007年Q3,221.9,69482.1,4980,7.2,221.9,0,0,355.1925,5471.08,96.96666667
2007年Q4,230.9,78669.3,4980,7.47,230.9,0,0,358.36,4840.22,96.46666667
2008年Q1,268.5,69373.6,5480,7.56,268.5,0,0,362.025,3157.83,94.8
2008年Q2,268.1,78711.8,5480,7.56,268.1,0,0,365.69,1902.29,94.13333333
2008年Q3,206.4,82460.1,6480,7.56,206.4,0,0,369.355,1655.17,93.86666667
2008年Q4,226.4,88699,6480,6.43,226.4,0,0,373.02,1389.05,99.8
2009年Q1,271,73979.2,5580,5.4,271,0,0,376.2875,2390.98,100.8666667
2009年Q2,362.4,83865.8,5730,5.4,362.4,0,0,379.555,3146.49,100.9
2009年Q3,369.6,89846.9,6130,5.4,369.6,0,0,382.8225,3651.07,102.5333333
2009年Q4,364,100825.8,6810,5.4,364,0,0,386.09,5162.19,103.4666667
2010年Q1,466.2,87501.3,7100,5.4,466.2,0,0,389.765,4421.33,105.6
2010年Q2,468.6,99347.4,7100,5.4,468.6,0,0,393.44,3322.6,107.7
2010年Q3,402.8,105963.7,7190,5.4,402.8,0,0,397.115,4460.99,106.4
2010年Q4,507,119306.8,7190,5.6,507,0,0,400.79,4136.98,102.3666667
2011年Q1,514.3,104469.9,7730,6.1,514.3,0,0,403.19,4564.4,102.3666667
2011年Q2,451.8,118895.9,8080,6.4,451.8,0,0,405.59,4073.69,106.8333333
2011年Q3,447.3,126562.2,8580,6.65,447.3,0,0,407.99,3441.62,104.6666667
2011年Q4,504.4,138012.1,8580,6.65,504.4,0,0,410.39,2985.92,99.33333333
2012年Q1,520.4,117357.6,8280,6.65,520.4,0,0,413.6975,3234.15,102.9666667
2012年Q2,508.5,131320.6,918,6.65,508.5,0,0,417.005,3162.54,102.1666667
2012年Q3,481.4,138089.6,8320,6.15,481.4,0,0,420.3125,2799.05,99.46666667
2012年Q4,551.6,151812,8840,6.15,551.6,0,0,423.62,3464.19,104.9666667
2013年Q1,574.8,129449.6,8530,6.15,575.1,0.3,1.3,426.62,3520.89,105.1
2013年Q2,653.9,143518.7,8520,6.15,654.2,0.3,1.3,429.62,3562.36,99.9
2013年Q3,478,152222.7,8225,6.15,478.4,0.4,1.4,432.62,4046.07,98.26666667
2013年Q4,747.2,167772.3,8550,6.15,748,0.8,1.8,435.62,3997.14,101.3666667
2014年Q1,659.1,140270.2,8535,6.15,659.8,0.7,1.7,438.2875,3873.02,104.0333333
2014年Q2,660.8,155922.3,8640,6.15,662.2,1.4,2.4,440.955,4020.07,103.9333333
2014年Q3,600.8,164897.8,8980,6.15,602.6,1.8,2.8,443.6225,4703.21,104.5333333
2014年Q4,557.7,180190.3,8200,6.15,561.4,3.7,4.7,446.29,5227.65,104.9
2015年Q1,689.2,150593.8,6775,6,691.9,2.7,3.7,449.0725,6580.57,107.5333333
2015年Q2,649.1,167874.5,6670,5.5,653.7,4.6,5.6,451.855,7016.61,107.6666667
2015年Q3,587.4,175803.8,7235,5,593.8,6.4,7.4,454.6375,5438.9,104.7
2015年Q4,517.4,191720.8,6410,4.75,536.8,19.4,20.4,457.42,6461.44,103.8666667
2016年Q1,656.54,160967.3,6105,4.75,662.34,5.8,6.8,460.44,5617.758,102.8
2016年Q2,624.19,179878.7,5965,4.75,635.39,11.2,12.2,463.46,5749.814,101.2333333
2016年Q3,640.24,189337.6,6570,4.75,652.14,11.9,12.9,466.48,5850.48,105.6666667
2016年Q4,815.23,209877.2,6420,4.75,837.03,21.8,22.8,469.5,5785.15,108.0666667
2017年Q1,707.44,179403.4,7120,4.75,713.04,5.6,6.6,471.4625,6095.69,110.9333333
